diff_window_id,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
0,0.013916,-0.0115969999999999,-0.000346685,0.073853,-0.062378,-0.00283812,0.057129,-0.04541,0.0029101549999999,1.098634,-1.953126,-0.0424194399999999,2.685547,-2.075196,0.172119095,3.173828,-1.831054,0.238952615,riding
1,0.017212,-0.013916,0.0001263299999999,0.09436,-0.081054,-0.0002142649999999,0.066162,-0.0585939999999999,0.0004882549999999,1.464844,-1.953126,0.01342772,2.685547,-3.112793,-0.13824469,3.173829,-3.845215000000001,0.0216674899999999,riding
2,0.017212,-0.013916,0.00091922,0.09436,-0.081054,0.00433287,0.066162,-0.0585939999999999,0.00013796,1.464844,-1.953126,0.03204345,2.685547,-3.112793,0.057983415,3.173829,-4.882814,-0.189209015,riding
3,0.017212,-0.027222,-0.00027219,0.098755,-0.145874,-0.000951525,0.066162,-0.0585939999999999,-0.0017260799999999,1.464844,-1.953126,0.01800539,2.319336,-3.112793,-0.1821899899999999,5.126953,-4.882814,-0.1638793949999999,riding
4,0.017212,-0.027222,0.0003710949999999,0.098755,-0.145874,0.00211975,0.066162,-0.0585939999999999,-0.0026245149999999,1.464844,-1.770021,0.03082275,2.197267,-3.112793,-0.03906248,5.126953,-4.882814,-0.0527954549999999,riding
5,0.016846,-0.027222,-0.0002838149999999,0.098755,-0.145874,-0.000394255,0.045532,-0.055053,-0.00213928,1.403809,-1.647949,0.0088501,2.01416,-2.319336,0.17883302,5.126953,-4.882814,0.038452145,riding
6,0.016846,-0.027222,-0.000812395,0.098755,-0.145874,-0.003943475,0.048951,-0.055053,0.0004296899999999,1.892091,-1.77002,-0.01647949,2.807617,-2.319336,0.1754761049999999,5.126953,-4.272461,0.327148435,riding
7,0.012085,-0.0109869999999999,0.00030944,0.0709229999999999,-0.064942,0.00090638,0.105346,-0.077515,0.0043139499999999,1.892091,-1.77002,0.02136231,3.723145,-4.333497,-0.052490225,2.319336,-2.380371,-0.02166747,riding
8,0.012085,-0.0109869999999999,0.000450435,0.0709229999999999,-0.064942,0.00268065,0.105346,-0.077515,3.66099999999997e-05,1.892091,-1.77002,-0.02227785,3.845216,-4.333497,-0.181579595,2.746582,-2.380371,-0.09490967,riding
9,0.012085,-0.0109869999999999,0.0009051399999999,0.0709229999999999,-0.064942,0.00502503,0.105346,-0.077515,0.00011293,1.892091,-1.77002,-0.0283813549999999,3.845216,-4.333497,-0.099487325,2.746582,-2.380371,-0.0372314749999999,riding
10,0.0152579999999999,-0.012939,0.00074828,0.0834959999999999,-0.06836,0.0043109099999999,0.105346,-0.077515,-0.0007848999999999,1.64795,-1.464844,0.004577635,3.845216,-4.333497,-0.13549808,2.929688,-2.685547,-0.16906741,riding
11,0.0152579999999999,-0.016235,-0.00012574,0.0834959999999999,-0.0921629999999999,-2.8064999999999617e-05,0.066528,-0.068115,-0.0023913449999999,1.098633,-1.464844,-0.036621105,3.845216,-2.868653,0.065612805,2.929688,-2.685547,0.084533665,riding
12,0.0152579999999999,-0.016235,0.0001062099999999,0.0834959999999999,-0.0921629999999999,0.0007080199999999,0.066528,-0.068115,0.001351925,1.098633,-1.281738,0.03112794,2.441406,-1.708985,0.3302002,2.929688,-2.685547,0.119018585,riding
13,0.0152579999999999,-0.016235,-0.0004284549999999,0.0834959999999999,-0.0921629999999999,-0.003222055,0.08313,-0.068115,0.002624495,1.098633,-1.281738,-0.0036620999999999,2.441406,-3.4790050000000003,-0.199584995,2.929688,-2.685547,-0.2410889099999999,riding
14,0.0119629999999999,-0.016235,-7.995499999999878e-05,0.0596929999999999,-0.0921629999999999,-0.0006402399999999,0.08313,-0.068359,0.00059142,0.915528,-1.342774,-0.0057983499999999,3.17383,-3.4790050000000003,0.0378418099999999,3.845215,-2.868653,0.0488281,riding
15,0.0119629999999999,-0.0135499999999999,-0.0001757649999999,0.0596929999999999,-0.0676269999999999,-0.001120625,0.08313,-0.068359,0.0004425,1.098634,-1.342774,0.0238037149999999,3.17383,-3.4790050000000003,0.0439452999999999,3.845215,-2.868653,-0.1000976949999999,riding
